sentence1,sentence2,word,string,Same_sense,Distance,Layer,mean_relatedness,S1_ntokens,S2_ntokens,token_diffs,n_params,mpath,revision,step
It was a desperate act.,It was a magic act.,act,act,Different Sense,1.6007594805245162e-08,0,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.011243697251731022,1,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.025345721707467184,2,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.2316616275791269,3,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.044872072289695364,4,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.036167978627110964,5,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.000598897955818023,6,2.181818182,6,6,0,14067712,EleutherAI/pythia-14m,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,1.6007594805245162e-08,0,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.02358157454920984,1,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.05388754763342596,2,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.26955062201914615,3,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.04909926633159145,4,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.0442778320498155,5,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.0009161638311336873,6,2.0,6,7,1,14067712,EleutherAI/pythia-14m,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,1.6007594805245162e-08,0,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.010615674828476362,1,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.03626088251520765,2,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.1532713529767289,3,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.03151896164540957,4,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.015472781526638446,5,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.0002704798647561457,6,2.818181818,7,6,1,14067712,EleutherAI/pythia-14m,step143000,143000
It was a humane act.,It was a comedic act.,act,act,Different Sense,1.6007594805245162e-08,0,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step143000,143000
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.014731735543005331,1,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step143000,143000
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.03353931062015725,2,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step143000,143000
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.19710766886718467,3,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step143000,143000
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.023859343075990136,4,2.80952381,7,7,0,14067712,EleutherAI/pythia-14m,step143000,143000
